1430139116004 - info: 2015-04-27T12:51:55.967Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"f72281c9-224f-b3e8-4831-d80f019928b4","aparams":[["b49d39c9-b903-cccd-7d32-b84beb1b76dc"],{"rtype":"data","expr":1,"subDbGuid":"3374ed95-e22d-beb2-dab5-ac3ca5f3efcc"},null],"func":"loadNewRoots"};37 ms
1430139116014 - info: 2015-04-27T12:51:56.014Z;deserialize;3 ms
1430139116016 - info: 2015-04-27T12:51:56.016Z;serialize;2 ms
1430139116017 - info: 2015-04-27T12:51:55.968Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"f72281c9-224f-b3e8-4831-d80f019928b4","aparams":[["8583ee1d-6936-19da-5ef0-9025fb7d1d8d"],{"rtype":"data","expr":1,"subDbGuid":"3374ed95-e22d-beb2-dab5-ac3ca5f3efcc"},null],"func":"loadNewRoots"};48 ms
1430139116036 - info: 2015-04-27T12:51:56.036Z;deserialize;16 ms
1430139116053 - info: 2015-04-27T12:51:56.053Z;serialize;9 ms
1430139116054 - info: 2015-04-27T12:51:55.968Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"f72281c9-224f-b3e8-4831-d80f019928b4","aparams":[["b49d39c9-b903-cccd-7d32-b84beb1b76dc"],{"rtype":"data","expr":1,"subDbGuid":"3374ed95-e22d-beb2-dab5-ac3ca5f3efcc"},null],"func":"loadNewRoots"};86 ms
1430139116063 - info: 2015-04-27T12:51:56.063Z;deserialize;3 ms
1430139116065 - info: 2015-04-27T12:51:56.065Z;serialize;1 ms
1430139116066 - info: 2015-04-27T12:51:55.968Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"f72281c9-224f-b3e8-4831-d80f019928b4","aparams":[["8583ee1d-6936-19da-5ef0-9025fb7d1d8d"],{"rtype":"data","expr":1,"subDbGuid":"3374ed95-e22d-beb2-dab5-ac3ca5f3efcc"},null],"func":"loadNewRoots"};98 ms
1430139116069 - info: 2015-04-27T12:51:56.069Z;sendDelta;0 ms
1430139116071 - info: 2015-04-27T12:51:56.070Z;sendDelta;0 ms
1430139116080 - info: 2015-04-27T12:51:56.080Z;deserialize;2 ms
1430139116081 - info: 2015-04-27T12:51:56.081Z;serialize;1 ms
1430139116082 - info: 2015-04-27T12:51:56.069Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"f72281c9-224f-b3e8-4831-d80f019928b4","aparams":[["edca46bc-3389-99a2-32c0-a59665fcb6a7"],{"rtype":"data","expr":10000,"subDbGuid":"3374ed95-e22d-beb2-dab5-ac3ca5f3efcc"},null],"func":"loadNewRoots"};13 ms
1430139116086 - info: 2015-04-27T12:51:56.086Z;deserialize;1 ms
